Participant,Unrelated,Semantic,Orthographic,,t.sem,p.sem,t.orth,p.orth
1,1.26,1.26,1.42,,-0.094296395,0.924905892,-2.185192676,0.029281954
2,0.75,0.71,0.90,,0.599512308,0.549024738,-2.147901757,0.032060013
3,0.95,1.08,1.28,,-1.637828726,0.101985557,-3.964757011,8.30E-05
4,0.43,0.55,0.69,,-1.899940243,0.057912585,-4.006876984,6.96E-05
5,0.72,0.77,0.94,,-0.761917878,0.446351041,-3.360777768,0.000817879
6,0.32,0.32,0.66,,-0.017961051,0.98567813,-5.436911673,1.05E-07
7,1.02,0.83,1.15,,2.481177129,0.013378879,-1.515348607,0.130319324
8,1.16,1.13,1.35,,0.229454353,0.818651191,-1.770850128,0.077624372
9,1.23,1.25,1.37,,-0.209944175,0.83379508,-1.544653895,0.123070648
10,1.12,1.05,1.25,,0.703653293,0.48204474,-1.417211438,0.157159029
,,,,,,,,
Participant,Condition,,,,,,,
,Unrelated,Semantic,Orthographic,,,,,
1,1.26,1.26,1.42,,,,,
2,0.75,0.71,0.90,,,,,
3,0.95,1.08,1.28,,,,,
4,0.43,0.55,0.69,,,,,
5,0.72,0.77,0.94,,,,,
6,0.32,0.32,0.66,,,,,
7,1.02,0.83,1.15,,,,,
8,1.16,1.13,1.35,,,,,
9,1.23,1.25,1.37,,,,,
10,1.12,1.05,1.25,,,,,
