"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2150.17749435585,4312.3549887117,4.56897552781404,4.56897546952624,0.753800581105586,NA,NA,0.0282712731281576,0.0894966940841608,0.0192751465639376,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4.56897552781404,4.56897546952624,0.753800581105586
"result.2",2,1382.63496644812,2777.26993289625,20,15,0.137707190560753,NA,NA,0.0525082027267423,0.0691545290055193,0.0476518139660759,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,15,0.137707190560753
"result.3",3,1982.057038532,3976.114077064,11.0385280898497,11.0385280898489,0.522941845934598,NA,NA,0.0308037827740792,0.0925784216740985,0.0566860748471858,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.0385280898497,11.0385280898489,0.522941845934598
"result.4",4,948.249595856739,1908.49919171348,20,14.9999999999999,0.118258747766547,NA,NA,0.0135426930342708,0.0413395588898385,0.0268184059531341,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,14.9999999999999,0.118258747766547
"result.5",5,1548.81048718505,3109.62097437009,19.9999999999999,15,0.335606689285633,NA,NA,0.0278870882088741,0.0508467964774599,0.0283666001997722,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.9999999999999,15,0.335606689285633
"result.6",6,978.862411789805,1969.72482357961,11.412303354246,11.4123033542425,0.100178401066521,NA,NA,0.00473602342826217,0.0369964800835415,0.00715962055788873,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.412303354246,11.4123033542425,0.100178401066521
"result.7",7,1927.9644465666,3867.92889313321,7.02810317242533,4.34834183290199,0.368227707989194,NA,NA,0.0592715999822289,0.0799167320385206,0.0343477520605971,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7.02810317242533,4.34834183290199,0.368227707989194
"result.8",8,2020.29442818473,4052.58885636946,8.24107502851875,7.23916915605143,0.633284360899983,NA,NA,0.0706814853882086,0.115503020497156,0.0579153141624044,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8.24107502851875,7.23916915605143,0.633284360899983
"result.9",9,1921.41266237262,3854.82532474524,8.78078724032867,8.78078723920932,0.77658510004481,NA,NA,0.0207899946549391,0.0786063646518079,2.8582100179409e-13,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8.78078724032867,8.78078723920932,0.77658510004481
"result.10",10,1853.06283219476,3718.12566438951,15.2235416448615,15,0.626684868506743,NA,NA,0.0527504261033403,0.0790849883648897,0.0581877593624034,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,15.2235416448615,15,0.626684868506743
