participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Spatiotemporal-Orthographic-Weight, 2289.2276, 3.6254, 0, 4.2646, 0, 1.5018, 0, 0.36545, 0, 1.3416, 0.73014, 0.61049, 0.50838, 0.093593, 0.66864, 0.44002, 0.048, 0.41897, 0.34654, 0, 0, 0.5192, 0.5, 1.161, NaN, NaN, NaN, 0.49468, NaN, 1.4998, NaN, 0, NaN, 0.32987, 0
2, Spatiotemporal-Orthographic-Weight, 5041.7481, 3.47, 0, 2.7305, 0, 1.5082, 0, 0.82796, 0, 4.4672, 1.6817, 0.22114, 0.17082, 0.18563, 0.17358, 0.32521, 0.041795, 0.04235, 0.34103, 0, 0, 0.58785, 0.5, 2.3545, NaN, NaN, NaN, 1.388, NaN, 3.7784, NaN, 0, NaN, 0.018264, 0
3, Spatiotemporal-Orthographic-Weight, 2660.9114, 3.2793, 0, 4.378, 0, 1.5063, 0, 0.66517, 0, 1.6576, 0.82431, 0.37074, 0.37795, 0.12575, 0.31978, 0.15095, 0.087595, 0.60375, 0.70347, 0, 0, 0.49701, 0.5, 0.60867, NaN, NaN, NaN, 7.0552e-06, NaN, 11.4696, NaN, 0, NaN, 0.24518, 0
4, Spatiotemporal-Orthographic-Weight, 4403.208, 2.9645, 0, 1.6803, 0, 1.522, 0, 0.99998, 0, 4.3956, 1.755, 0.13533, 0.29264, 0.076168, 0.31847, 0.14318, 0.46756, 0.38758, 0.2975, 0, 0, 0.5396, 0.5, 1.5079, NaN, NaN, NaN, 0.61954, NaN, 13.2172, NaN, 0, NaN, 3.4856e-06, 0
5, Spatiotemporal-Orthographic-Weight, 5780.1783, 2.6334, 0, 1.2904, 0, 1.4009, 0, 0.01266, 0, 3.2322, 0.82881, 0.016593, 0.017411, 0.37564, 0.66417, 0.24808, 0.30911, 0.43164, 0.51831, 0, 0, 0.45091, 0.5, 2.0905, NaN, NaN, NaN, 0.5204, NaN, 8.9735, NaN, 0, NaN, 0.23467, 0
6, Spatiotemporal-Orthographic-Weight, 2271.3743, 3.3046, 0, 1.8538, 0, 1.5042, 0, 0.72893, 0, 3.2241, 1.1882, 0.061795, 0.13304, 0.03855, 0.51487, 0.38059, 0.58044, 0.064154, 0.51084, 0, 0, 0.66254, 0.5, 2.0405, NaN, NaN, NaN, 0.95217, NaN, 14.9869, NaN, 0, NaN, 0.001407, 0
7, Spatiotemporal-Orthographic-Weight, 4055.2479, 2.1694, 0, 2.9855, 0, 1.1214, 0, 0.96968, 0, 2.5718, 1.6614, 0.29968, 0.2127, 0.097013, 0.21118, 0.39821, 0.52387, 0.41279, 0.054073, 0, 0, 0.75363, 0.5, 3.5204, NaN, NaN, NaN, 0.37926, NaN, 1.4997, NaN, 0, NaN, 0.089666, 0
8, Spatiotemporal-Orthographic-Weight, 1029.3824, 6.8234, 0, 0.55608, 0, 1.5004, 0, 0.21584, 0, 1.1943, 0.56105, 0.59022, 0.75264, 0.20086, 0.31691, 0.19752, 0.049619, 0.49173, 0.30497, 0, 0, 0.60123, 0.5, 2.1336, NaN, NaN, NaN, 0.60873, NaN, 6.189, NaN, 0, NaN, 0.27731, 0
9, Spatiotemporal-Orthographic-Weight, 2646.2635, 3.0719, 0, 4.0199, 0, 1.3643, 0, 0.45695, 0, 1.5538, 0.89356, 0.57743, 0.52061, 0.15076, 0.39963, 0.065813, 0.37895, 0.043273, 0.12108, 0, 0, 0.56616, 0.5, 1.8975, NaN, NaN, NaN, 0.89835, NaN, 2.831, NaN, 0, NaN, 0.31422, 0
10, Spatiotemporal-Orthographic-Weight, 2292.6368, 3.9951, 0, 5.1699, 0, 1.5044, 0, 0.47762, 0, 2.0818, 1.1178, 0.42934, 0.49727, 0.13649, 0.21634, 0.30922, 0.58874, 0.718, 0.25785, 0, 0, 0.60481, 0.5, 2.4449, NaN, NaN, NaN, 0.098792, NaN, 1.5008, NaN, 0, NaN, 0.20779, 0
