participant, model_name, AIC, v1t, v2t,  v1i,  v2i,   eta_t, eta_i,    at,  ag,    beta,  gamma,  tau,  l_b,   l_f,   zeta,  rho,   chi1,     chi2,      psi1,   psi2,    iota1,  iota2,  upsilon1,   upsilon2,     Ter,    st
1, Saturated, 3281.0155, 3.7829, 0, 0.49979, 0, 0.19291, 0.14555, 1.2762, 0.77052, 0.69999, 0.10814, 0.75192, 0.40386, 0.39569, 0.59511, 0.23823, 0.44232, 0.49124, 1.558e-05, 0.11342, 1.9817, 2.9174, 4.2322, 3.2315, 0.32036, 0
2, Saturated, 6739.039, 3.2539, 0, 1.9226, 0, 0.27906, 0.10067, 1.5453, 1.7276, 0.68048, 0.23786, 0.24415, 0.52059, 0.47995, 0.28088, 0.46071, 0.29997, 0.30087, 0.27484, 0.27484, 4.5139, 3.8517, 1.2999, 4.5538, 0.43763, 0
3, Saturated, 3901.633, 1.7471, 0, 2.3919, 0, 0.035835, 0.13559, 1.0863, 1.2532, 0.14232, 0.29138, 0.20038, 0.57398, 0.38407, 0.34331, 0.52911, 0.14072, 0.22187, 0.082507, 0.43457, 2.0873, 2.0782, 4.4712, 3.7818, 0.23022, 0
4, Saturated, 6180.472, 1.8094, 0, 1.1853, 0, 0.1449, 0.073962, 3.6419, 1.3846, 0.25648, 0.17106, 0.75219, 0.46418, 0.83135, 0.45442, 0.39549, 0.18774, 0.20374, 0.19407, 0.27609, 2.1893, 3.7995, 0.49856, 1.0168, 0.1, 0
5, Saturated, 6915.118, 2.2417, 0, 0.45725, 0, 0.16774, 0.089929, 2.241, 0.7684, 0.1112, 0.33941, 0.79899, 0.66106, 0.69113, 0.15369, 0.20807, 0.13574, 0.40167, 0.07851, 0.61036, 1.1867, 2.1984, 1.6382, 3.6261, 0.40288, 0
6, Saturated, 4787.7615, 2.0688, 0, 0.48623, 0, 0.090213, 0.087262, 2.2142, 1.0045, 0.15388, 0.12744, 0.29826, 0.98117, 0.65849, 0.30786, 0.69847, 0.1, 0.19216, 0.32205, 0.60365, 5.0017, 0.98442, 4.2345, 4.963, 0.10145, 0
7, Saturated, 6597.1212, 1.0966, 0, 1.7654, 0, 0.24274, 0.070416, 1.9839, 0.84195, 0.3016, 0.35752, 0.20001, 0.85232, 0.61455, 0.34228, 0.48253, 0.1, 0.50969, 0.33845, 0.38991, 4.1469, 3.4941, 2.0079, 3.3356, 0.42261, 0
8, Saturated, 2636.887, 5.4359, 0, 0.6057, 0, 0.36811, 0.14989, 1.0641, 0.60128, 0.67382, 0.20191, 0.62545, 0.37943, 0.59863, 0.63305, 0.19794, 0.16945, 0.20132, 0.28023, 0.57705, 2.3507, 1.3965, 0.73267, 2.9119, 0.27328, 0
9, Saturated, 3643.1284, 1.1705, 0, 0.49621, 0, 0.047421, 0.13809, 1.0194, 0.77032, 0.38398, 0.26118, 0.72784, 0.50837, 0.55791, 0.53068, 0.19734, 0.19569, 0.19569, 0.19249, 0.55427, 1.5006, 5.0011, 3.5378, 2.3859, 0.33989, 0
10, Saturated, 4137.2029, 3.6109, 0, 0.97528, 0, 0.3006, 0.12711, 1.3878, 0.67955, 0.52192, 0.34016, 0.46691, 0.77074, 0.87448, 0.21893, 0.10001, 0.15411, 0.26883, 0.13863, 0.43574, 1.6778, 2.828, 5.0093, 3.466, 0.34442, 0
