participant, model_name, AIC, v1t, v2t,  v1i,  v2i,   eta_t, eta_i,    at,  ag,    beta,  gamma,  tau,  l_b,   l_f,   zeta,  rho,   chi1,     chi2,      psi1,   psi2,    iota1,  iota2,  upsilon1,   upsilon2,     Ter,    st
1, Orthosem,3312.9633,1.1952,0,0.59479,0,0.4908,0.19309,0.87853,0.66964,0.28819,0.10146,0.75632,0.9323,0.39462,0.25883,0.66183,0.39994,0.39994,0.35291,0.35291,0.49145,0.49145,2.4778,2.4778,0.32664,0
2, Orthosem,6343.6112,2.5239,0,0.89636,0,0.11797,0.22678,2.3283,0.98359,0.11862,0.12611,0.54857,0.39998,0.58546,0.31452,0.6792,0.56797,0.56797,0.56558,0.56558,0.48403,0.48403,3.144,3.144,0.346,0
3, Orthosem,4692.2778,1.7124,0,3.449,0,0.15623,0.10004,1.6047,0.33027,0.051341,0.11295,0.35292,0.62854,0.69462,0.16736,0.61418,0.52645,0.52645,0.27479,0.27479,0.48629,0.48629,1.0834,1.0834,0.10631,0
4, Orthosem,6842.7462,1.2195,0,1.1582,0,0.1,0.10001,2.5932,0.67808,0.28495,0.050001,0.79989,0.80829,0.40886,0.64822,0.40931,0.53804,0.53804,0.46337,0.46337,1.6336,1.6336,1.3842,1.3842,0.1484,0
5, Orthosem,6755.2364,1.5142,0,0.068599,0,0.55714,0.0074432,2.575,0.79919,0.00048217,0.059731,0.6356,2.2145,0.59049,0.7386,0.95006,0.50647,0,0.021257,0,0,0,0,0,0.087998,0
6, Orthosem,8545.2166,1.906,0,1.9325,0,0.10008,0.10044,1.0459,0.58625,0.064642,0.054413,0.20008,0.30006,1.0162,0.10001,0.57869,0.69915,0.69915,0.40391,0.40391,0.49184,0.49184,2.2919,2.2919,0.22326,0
7, Orthosem,6436.923,1.0757,0,0.77326,0,0.27615,0.10004,1.6711,0.83613,0.2288,0.13823,0.28705,0.47631,1.0116,0.40877,0.496,0.22891,0.22891,0.18986,0.18986,2.2952,2.2952,2.3578,2.3578,0.377,0
8, Orthosem,2605.5557,7.0004,0,0.60153,0,0.49251,0.20256,1.1312,0.59154,0.67865,0.18189,0.24097,0.82422,0.66656,0.27552,0.38984,0.14622,0.14622,0.32518,0.32518,0.49922,0.49922,1.7755,1.7755,0.27694,0
9, Orthosem,3794.2874,1.0975,0,0.88128,0,0.10012,0.12233,0.93332,0.59754,0.26901,0.15438,0.70828,1.2548,1.0042,0.31275,0.46691,0.2031,0.2031,0.19702,0.19702,2.2125,2.2125,1.3002,1.3002,0.426,0
10, Orthosem,3998.0425,3.9812,0,0.59608,0,0.194,0.14476,1.6889,0.92192,0.62423,0.10567,0.23045,0.96667,0.43747,0.50638,0.56202,0.3766,0.3766,0.2745,0.2745,0.57618,0.57618,0.49931,0.49931,0.25995,0
,,53326.8601,2.3226,0,1.0951599,0,0.2585,0.12974932,1.645015,0.699415,0.260891517,0.1084835,0.476013,0.880567,0.681008,0.373096,0.580804,0.419285,0.368638,0.3068377,0.304712,0.917031,0.917031,1.631411,1.631411,0.2578498,0
