lure,word,count,cos,n,mean_cos
dance,salsa,3,0.21153563,23,0.280962889
dance,waltz,3,0.232733173,23,0.280962889
dance,rumba,2,0.322245986,23,0.280962889
dance,shoes,2,0.360887675,23,0.280962889
dance,belly,1,0.199850127,23,0.280962889
dance,booty,1,0.40364607,23,0.280962889
dance,dizzy,1,0.312099368,23,0.280962889
dance,drunk,1,0.23563594,23,0.280962889
dance,fever,1,0.314754671,23,0.280962889
dance,float,1,0.226667989,23,0.280962889
dance,grace,1,0.343699813,23,0.280962889
dance,group,1,0.321202079,23,0.280962889
dance,happy,1,0.264996677,23,0.280962889
dance,jolly,1,0.296228824,23,0.280962889
dance,night,1,0.322288668,23,0.280962889
dance,pants,1,0.301709808,23,0.280962889
dance,polka,1,0.167871542,23,0.280962889
dance,stage,1,0.203311939,23,0.280962889
dance,steps,1,0.465488993,23,0.280962889
dance,swing,1,0.204634661,23,0.280962889
dance,wheel,1,0.285826119,23,0.280962889
hoard,greed,3,0.348362321,20,0.322036023
hoard,miser,3,0.298019663,20,0.322036023
hoard,stash,3,0.406052893,20,0.322036023
hoard,amass,2,0.380767732,20,0.322036023
hoard,covet,2,0.248207904,20,0.322036023
hoard,sheep,2,0.358533943,20,0.322036023
hoard,stuff,2,0.46128154,20,0.322036023
hoard,trash,2,0.303291791,20,0.322036023
hoard,cards,1,0.264634453,20,0.322036023
hoard,chest,1,0.320156996,20,0.322036023
hoard,crave,1,0.396478729,20,0.322036023
hoard,crazy,1,0.303768776,20,0.322036023
hoard,flock,1,0.25260452,20,0.322036023
hoard,keeps,1,0.365853899,20,0.322036023
hoard,latch,1,0.281223534,20,0.322036023
hoard,money,1,0.27922789,20,0.322036023
hoard,piled,1,0.276853614,20,0.322036023
hoard,stack,1,0.33712256,20,0.322036023
hoard,vault,1,0.298363316,20,0.322036023
hoard,store,1,0.259914379,20,0.322036023
shaft,light,7,0.259947269,21,0.3571768
shaft,arrow,6,0.483229866,21,0.3571768
shaft,screw,5,0.233473114,21,0.3571768
shaft,stick,4,0.35710933,21,0.3571768
shaft,spear,3,0.426323599,21,0.3571768
shaft,black,2,0.303613805,21,0.3571768
shaft,crank,2,0.376761204,21,0.3571768
shaft,drive,2,0.411319207,21,0.3571768
shaft,knife,2,0.2357615,21,0.3571768
shaft,break,1,0.417631922,21,0.3571768
shaft,broom,1,0.232497653,21,0.3571768
shaft,craft,1,0.4120078,21,0.3571768
shaft,disco,1,0.300518546,21,0.3571768
shaft,drain,1,0.537016117,21,0.3571768
shaft,empty,1,0.450403777,21,0.3571768
shaft,enter,1,0.274327059,21,0.3571768
shaft,given,1,0.389401858,21,0.3571768
shaft,plane,1,0.288227964,21,0.3571768
shaft,scold,1,0.302921597,21,0.3571768
shaft,spike,1,0.367852455,21,0.3571768
shaft,stuck,1,0.440367147,21,0.3571768
dusty,books,4,0.199826657,26,0.250073007
dusty,bunny,3,0.222379557,26,0.250073007
dusty,floor,3,0.225031061,26,0.250073007
dusty,attic,2,0.239416174,26,0.250073007
dusty,cloth,2,0.223163275,26,0.250073007
dusty,cloud,2,0.22023409,26,0.250073007
dusty,mites,2,0.298309722,26,0.250073007
dusty,musty,2,0.246972343,26,0.250073007
dusty,shelf,2,0.390404367,26,0.250073007
dusty,chore,1,0.120008608,26,0.250073007
dusty,couch,1,0.307401922,26,0.250073007
dusty,cover,1,0.232643877,26,0.250073007
dusty,fluff,1,0.255122165,26,0.250073007
dusty,foggy,1,0.34018309,26,0.250073007
dusty,glove,1,0.292739961,26,0.250073007
dusty,grimy,1,0.2422284,26,0.250073007
dusty,gross,1,0.168507084,26,0.250073007
dusty,ledge,1,0.299315037,26,0.250073007
dusty,moldy,1,0.291619643,26,0.250073007
dusty,rusty,1,0.278683172,26,0.250073007
dusty,sandy,1,0.236473591,26,0.250073007
dusty,shade,1,0.240294801,26,0.250073007
dusty,smell,1,0.242249059,26,0.250073007
dusty,storm,1,0.184726806,26,0.250073007
dusty,trail,1,0.264429084,26,0.250073007
dusty,whisk,1,0.239534634,26,0.250073007
gully,ditch,18,0.302061262,23,0.311312825
gully,creek,4,0.221813547,23,0.311312825
gully,river,4,0.254706652,23,0.311312825
gully,chasm,2,0.292142269,23,0.311312825
gully,ferns,2,0.410911096,23,0.311312825
gully,green,2,0.375742378,23,0.311312825
gully,trees,2,0.319365302,23,0.311312825
gully,beach,1,0.302336225,23,0.311312825
gully,below,1,0.240506667,23,0.311312825
gully,canal,1,0.275266681,23,0.311312825
gully,crack,1,0.245276672,23,0.311312825
gully,erode,1,0.261566423,23,0.311312825
gully,fjord,1,0.374381023,23,0.311312825
gully,flood,1,0.316674904,23,0.311312825
gully,gulch,1,0.215496337,23,0.311312825
gully,muddy,1,0.290579633,23,0.311312825
gully,naive,1,0.391701009,23,0.311312825
gully,nymph,1,0.371895922,23,0.311312825
gully,plant,1,0.295220867,23,0.311312825
gully,reeds,1,0.366982549,23,0.311312825
gully,sewer,1,0.378864808,23,0.311312825
gully,waste,1,0.290930782,23,0.311312825
gully,weeds,1,0.365771965,23,0.311312825
saucy,spicy,11,0.198591192,20,0.267433547
saucy,pasta,4,0.221828849,20,0.267433547
saucy,gravy,3,0.252051236,20,0.267433547
saucy,perky,3,0.29767395,20,0.267433547
saucy,tasty,3,0.212139868,20,0.267433547
saucy,flirt,2,0.280222856,20,0.267433547
saucy,silly,2,0.237086312,20,0.267433547
saucy,smart,2,0.303855822,20,0.267433547
saucy,bossy,1,0.259224757,20,0.267433547
saucy,curry,1,0.212799701,20,0.267433547
saucy,kinky,1,0.35634548,20,0.267433547
saucy,lippy,1,0.20392643,20,0.267433547
saucy,pixie,1,0.235810331,20,0.267433547
saucy,runny,1,0.238740263,20,0.267433547
saucy,salty,1,0.328866096,20,0.267433547
saucy,soupy,1,0.297435537,20,0.267433547
saucy,tacky,1,0.329566144,20,0.267433547
saucy,tangy,1,0.19608466,20,0.267433547
saucy,witty,1,0.287542674,20,0.267433547
saucy,zesty,1,0.398878773,20,0.267433547
creep,crawl,21,0.304775106,20,0.337871513
creep,sneak,17,0.362071737,20,0.337871513
creep,weird,10,0.275643756,20,0.337871513
creep,scary,7,0.346021341,20,0.337871513
creep,quiet,4,0.392502893,20,0.337871513
creep,oozed,3,0.250284426,20,0.337871513
creep,freak,2,0.553866198,20,0.337871513
creep,angst,1,0.296257898,20,0.337871513
creep,chill,1,0.316342504,20,0.337871513
creep,clown,1,0.402551059,20,0.337871513
creep,crime,1,0.350814324,20,0.337871513
creep,leech,1,0.368131579,20,0.337871513
creep,phone,1,0.335015035,20,0.337871513
creep,shady,1,0.21359812,20,0.337871513
creep,slink,1,0.341839166,20,0.337871513
creep,snoop,1,0.253557044,20,0.337871513
creep,spook,1,0.352708871,20,0.337871513
creep,stalk,1,0.336972578,20,0.337871513
creep,surge,1,0.325350289,20,0.337871513
creep,tread,1,0.379126331,20,0.337871513
rolls,moves,3,0.308787291,20,0.277297774
rolls,lumps,2,0.260337843,20,0.277297774
rolls,jelly,2,0.230443,20,0.277297774
rolls,lists,2,0.294025819,20,0.277297774
rolls,Swiss,2,0.15978932,20,0.277297774
rolls,yeast,2,0.215539869,20,0.277297774
rolls,baker,1,0.344324048,20,0.277297774
rolls,balls,1,0.294987885,20,0.277297774
rolls,cakes,1,0.216190849,20,0.277297774
rolls,curls,1,0.303131615,20,0.277297774
rolls,falls,1,0.257540692,20,0.277297774
rolls,flaky,1,0.248273561,20,0.277297774
rolls,flips,1,0.317200378,20,0.277297774
rolls,lunch,1,0.306456246,20,0.277297774
rolls,spins,1,0.256906599,20,0.277297774
rolls,sushi,1,0.275202708,20,0.277297774
rolls,tubes,1,0.31821915,20,0.277297774
rolls,turns,1,0.317221995,20,0.277297774
rolls,under,1,0.35062161,20,0.277297774
rolls,loops,1,0.270755003,20,0.277297774
hater,troll,7,0.184834308,20,0.387768364
hater,bully,6,0.281013031,20,0.387768364
hater,angry,5,0.311305609,20,0.387768364
hater,bigot,5,0.38039603,20,0.387768364
hater,anger,4,0.4351574,20,0.387768364
hater,slang,4,0.387055727,20,0.387768364
hater,idiot,3,0.348940306,20,0.387768364
hater,poser,2,0.437579969,20,0.387768364
hater,abhor,1,0.26820511,20,0.387768364
hater,cynic,1,0.239245877,20,0.387768364
hater,faker,1,0.507155249,20,0.387768364
hater,irate,1,0.395226451,20,0.387768364
hater,loser,1,0.416103877,20,0.387768364
hater,pains,1,0.358704556,20,0.387768364
hater,petty,1,0.369414947,20,0.387768364
hater,shake,1,0.338229209,20,0.387768364
hater,snobs,1,0.33876044,20,0.387768364
hater,strut,1,0.464419654,20,0.387768364
hater,teens,1,0.311296352,20,0.387768364
hater,vapid,1,0.41748057,20,0.387768364
knife,sharp,46,0.313258474,20,0.28250795
knife,blade,12,0.417994855,20,0.28250795
knife,spoon,9,0.199325594,20,0.28250795
knife,slice,5,0.208250254,20,0.28250795
knife,steak,4,0.335131439,20,0.28250795
knife,blood,3,0.225179788,20,0.28250795
knife,metal,3,0.368417045,20,0.28250795
knife,steel,3,0.301890459,20,0.28250795
knife,board,2,0.358794747,20,0.28250795
knife,stabs,2,0.270568766,20,0.28250795
knife,point,2,0.344976491,20,0.28250795
knife,shiny,2,0.322053741,20,0.28250795
knife,sword,2,0.293373677,20,0.28250795
knife,carve,1,0.172650403,20,0.28250795
knife,knave,1,0.221869257,20,0.28250795
knife,parry,1,0.285107726,20,0.28250795
knife,plate,1,0.256801193,20,0.28250795
knife,gleam,1,0.216737241,20,0.28250795
knife,table,1,0.318907903,20,0.28250795
knife,wound,1,0.218869944,20,0.28250795
fight,argue,7,0.179357936,20,0.284648986
fight,brawl,7,0.401576725,20,0.284648986
fight,punch,6,0.349647642,20,0.284648986
fight,fists,3,0.3082428,20,0.284648986
fight,prize,2,0.417134328,20,0.284648986
fight,tears,2,0.316197399,20,0.284648986
fight,boxer,1,0.222109704,20,0.284648986
fight,cuffs,1,0.348241049,20,0.284648986
fight,drama,1,0.280076697,20,0.284648986
fight,gangs,1,0.26787503,20,0.284648986
fight,match,1,0.322363044,20,0.284648986
fight,melee,1,0.325781707,20,0.284648986
fight,pride,1,0.182004857,20,0.284648986
fight,rebel,1,0.228340742,20,0.284648986
fight,score,1,0.360032235,20,0.284648986
fight,scrap,1,0.193419839,20,0.284648986
fight,smack,1,0.250692554,20,0.284648986
fight,tough,1,0.254387166,20,0.284648986
fight,knock,1,0.246616444,20,0.284648986
fight,beats,1,0.238881818,20,0.284648986
realm,world,15,0.382681535,23,0.281968259
realm,place,4,0.26771876,23,0.281968259
realm,space,4,0.222572398,23,0.281968259
realm,dream,3,0.291547943,23,0.281968259
realm,ruler,3,0.210343416,23,0.281968259
realm,crown,2,0.114806324,23,0.281968259
realm,power,2,0.299806803,23,0.281968259
realm,queen,2,0.26513562,23,0.281968259
realm,duchy,1,0.281575657,23,0.281968259
realm,fairy,1,0.262127379,23,0.281968259
realm,fence,1,0.281719459,23,0.281968259
realm,games,1,0.290744084,23,0.281968259
realm,walls,1,0.199933239,23,0.281968259
realm,hills,1,0.368704356,23,0.281968259
realm,kings,1,0.405800528,23,0.281968259
realm,lands,1,0.30115154,23,0.281968259
realm,outer,1,0.362198296,23,0.281968259
realm,range,1,0.319663675,23,0.281968259
realm,reach,1,0.321260089,23,0.281968259
realm,scope,1,0.394249718,23,0.281968259
realm,sight,1,0.223741829,23,0.281968259
realm,taxes,1,0.213833171,23,0.281968259
realm,unity,1,0.203954132,23,0.281968259
wheat,bread,55,0.194470279,20,0.278628593
wheat,grain,19,0.235322447,20,0.278628593
wheat,field,15,0.282846877,20,0.278628593
wheat,flour,10,0.338713858,20,0.278628593
wheat,whole,8,0.365128451,20,0.278628593
wheat,chaff,6,0.333218548,20,0.278628593
wheat,grass,5,0.227606111,20,0.278628593
wheat,farms,4,0.259330329,20,0.278628593
wheat,brown,3,0.278300497,20,0.278628593
wheat,sheaf,3,0.118988108,20,0.278628593
wheat,thins,2,0.464233281,20,0.278628593
wheat,amber,1,0.302336225,20,0.278628593
wheat,color,1,0.317157668,20,0.278628593
wheat,crops,1,0.276055925,20,0.278628593
wheat,dough,1,0.219411109,20,0.278628593
wheat,fiber,1,0.296153141,20,0.278628593
wheat,horse,1,0.268924915,20,0.278628593
wheat,knead,1,0.280240919,20,0.278628593
wheat,sprig,1,0.21518401,20,0.278628593
wheat,toast,1,0.298949161,20,0.278628593
