"","participant","statistic","p.value"
"1","p1",0.0176439836892424,0.874437305302068
"2","p2",0.694292077204685,9.42955512545867e-118
"3","p3",0.439436024322435,9.3625619137359e-45
"4","p4",0.508905494992621,1.78731080958066e-126
"5","p5",0.547413986805269,4.37803164973934e-73
"6","p6",0.206240835030348,4.52075078933645e-11
"7","p7",0.568249075040308,2.0926012626611e-71
"8","p8",0.867079387163703,2.61339916124219e-180
"9","p9",0.104760856372109,0.011611215049825
"10","p10",0.86687203749171,3.18481937784282e-180
"11","p11",0.352669170095437,4.09885208818399e-26
"12","p12",0.660124810244394,1.04681414192877e-106
"13","p13",0.0727998417151334,0.236560755105061
"14","p15",0.0815062488608625,0.0437624335035718
"15","p16",0.536789797080758,1.48736006800415e-70
"16","p17",0.0924428333342525,0.00949116225793507
"17","p18",0.61557260100741,6.95751566728446e-93
"18","p19",0.286560270259752,2.79685804396613e-13
"19","p20",0.281838755842913,3.82140790938949e-10
